"code","details","summary","expiryTimestamp"
"ZGP3A2AABYP1EKWT","Expires Jun 7, 2022. ","Upto 60% OFF","2022-06-06T18:30:00Z"
"1000119940685","Expires Aug 18, 2022. ","₹250 Voucher","2022-08-17T18:30:00Z"
"JN4-3-JC3YJ0","Expires Dec 8, 2021. ","Buy 1 Get 1","2021-12-07T18:30:00Z"
"GOCT01-L1ET-B7ZG-G7EB-XX3F","Expires Nov 20, 2022. ","Flat ₹350 OFF","2022-11-19T18:30:00Z"
"GPAY-RDV2-H7NM-BV","Expires Mar 31, 2022. Minimum spend ₹3,000. Maximum ₹500 off.","Flat ₹500 off","2022-03-30T18:30:00Z"
"TCLVM5AC","Expires May 31, 2022. ","Flat ₹5000 off","2022-05-30T18:30:00Z"
"GMAYLS22-5SZ-PNX-N6R-6AP","Expires May 31, 2022. Minimum spend ₹999. ","Flat ₹300 off","2022-05-30T18:30:00Z"
"DRCPGP786205","Expires Feb 7, 2022. ","Free Glucometer","2022-02-06T18:30:00Z"
"GPYNUB-GFPU6WEBXC","Expires May 31, 2022. Minimum spend ₹149. Maximum ₹125 off.","50% off ","2022-05-30T18:30:00Z"
"PARPB6F92E4A384BC9C","Expires Mar 15, 2023. ","Get Shampoo","2023-03-14T18:30:00Z"
"QTI4328978142995","Expires Dec 29, 2022. ","Airtel SIM","2022-12-28T18:30:00Z"
"G2FEB22-X7Z7-YZ17-179X-X198","Expires Feb 28, 2022. ","Flat ₹400 off","2022-02-27T18:30:00Z"
"ZGPI2AACBTUYM722","Expires Nov 20, 2022. ","60% off","2022-11-19T18:30:00Z"
"10000000023718002","Expires Jan 31, 2022. ","₹250 Voucher","2022-01-31T18:00:00Z"
"PARPB13D1AD588C208F0","Expires Jan 31, 2023. ","Green tea face","2023-01-30T18:30:00Z"
"GFKJQNJTJ4J7A5Q8","Expires Feb 28, 2022. ","Free Eyewear","2022-02-28T18:00:00Z"
"GPYM4LNCJ8ADVQ5","Expires Mar 25, 2022. ","Flat ₹400 off","2022-03-24T18:30:00Z"
"MNGPIPL21-8r25dzt4k","Expires May 25, 2022. ","40% off","2022-05-24T18:30:00Z"
"HD28N2XTX333O4Z","Expires Apr 30, 2022. ","₹1000 Free","2022-04-29T18:30:00Z"
"PARPB0M3BC0D6AB3367","Expires Apr 12, 2023. ","Green tea","2023-04-11T18:30:00Z"
"LS40002F73B3JGPAY1","Expires May 15, 2023. Minimum spend ₹1,299. ","Flat ₹400 off","2023-05-14T18:30:00Z"
"PGLP-5-7FOTK","Expires Feb 15, 2022. ","Free Gold","2022-02-14T18:30:00Z"
"CWGPJANNLN55JQ2BQD","Buy 1 Get 1 and get additional ₹500 off on your total order on Coolwinks eyewear. Expires March 31, 2021.","Buy 1 Get 1 on Coolwinks Eyewear","2021-03-30T18:30:00Z"
"PARGGTF013AE4729E8","Expires Nov 20, 2022. ","Free Face Toner","2022-11-19T18:30:00Z"
"GPAY25925770374","Expires Oct 20, 2022. ","₹500 Free","2022-10-19T18:30:00Z"
"ZGP1A1AABQC9T2NP","Expires Feb 23, 2022. Minimum spend ₹159. Maximum ₹120 off.","Upto 60% OFF","2022-02-22T18:30:00Z"
"HOI-K3TBB2P","Expires Nov 21, 2022. ","FLAT ₹200 OFF","2022-11-20T18:30:00Z"
"GP209-QP12DYNXRX","Expires Apr 30, 2022. ","Flat ₹90 off","2022-04-29T18:30:00Z"
"1000408405623","Expires Dec 8, 2022. ","₹500 voucher","2022-12-07T18:30:00Z"
"MNJKEQ5YL722H4RZT","Expires May 15, 2022. ","Free Eyewear","2022-05-14T18:30:00Z"
"LS40006N4HXHWGPAY","Expires Jul 31, 2022. ","Flat ₹400 off","2022-07-30T18:30:00Z"
"LS40010SK5526GPAY","Expires Dec 15, 2022. ","Flat ₹400 off","2022-12-14T18:30:00Z"
"170k-gfo7-pg3f","Expires Jul 17, 2022. ","FLAT 70% OFF","2022-07-17T18:00:00Z"
"GPEMOC1WQEXGMJ3F956F","Expires Dec 10, 2021. ","Free Glasses","2021-12-09T18:30:00Z"
"PGEZ-3-PUMVX","Expires May 31, 2022. ","Free Lenskart","2022-05-30T18:30:00Z"
"CG8-PKDG-PDCS-D8KD","Get flat ₹200 off on your AJIO order. With min. spend of ₹990. Expires June 8, 2021.","Flat ₹200 off on AJIO","2021-06-08T18:29:59Z"
"GPDB14YPDHFXFK","Expires May 24, 2023. Maximum ₹5,000 off.","₹300 - ₹5000 off","2023-05-24T18:00:00Z"
"1000079438252","Expires Jun 6, 2022. ","₹275 Voucher","2022-06-05T18:30:00Z"
"GPAYJ35R615","Expires Jul 11, 2022. ","₹201 off","2022-07-10T18:30:00Z"
"NDSVCQELZLJABZCDA","Expires Oct 25, 2022. ","₹1,250 off","2022-10-24T18:30:00Z"
"GP292-Y7N9ODW5EJ","Expires Oct 31, 2022. ","Flat ₹90 Off","2022-10-30T18:30:00Z"
"bsju6344ZO8766SC","Expires Dec 5, 2022. ","Flat 70% off","2022-12-04T18:30:00Z"
"1000473840214","Expires May 31, 2023. ","₹600 voucher","2023-05-31T18:00:00Z"
"SGP-xwFf6Qcyr0J","Expires Aug 30, 2022. ","100% cashback","2022-08-29T18:30:00Z"
"THRGP25S3TR2213","Expires Jul 15, 2023. ","Hair Growth","2023-07-14T18:30:00Z"
"GP242-AXW37MP993","Expires Jul 31, 2022. ","Flat ₹90 off","2022-07-30T18:30:00Z"
"3GB-PYDOE-BXN","Expires Sep 26, 2022. ","Free Lenskart","2022-09-26T18:00:00Z"
"GPS-HLRX-9CJ9-BJGC","Expires Sep 16, 2021. ","₹300 off","2021-09-15T18:30:00Z"
"LGPG-ANCNOF-KSBND","Expires Jan 3, 2023. ","Free Lenskart","2023-01-02T18:30:00Z"
"LS40009VD465HGPAY","Expires Oct 17, 2022. ","Flat ₹400 off","2022-10-16T18:30:00Z"
"ISEC20215747169","Open a Trading Account with ICICIdirect and enjoy free brokerage upto ₹2,000 on trading. Expires April 30, 2021.","Free brokerage of ₹2000","2021-04-30T18:29:59Z"
"PARPB1ADA14CCAEC3B4","Expires May 15, 2023. ","Get Charcoal ","2023-05-14T18:30:00Z"
"GRA180294600573","Expires Oct 31, 2021. ","Get ₹1100","2021-10-30T18:30:00Z"
"10000000057595759","Expires Feb 15, 2022. ","₹250 Amazon","2022-02-14T18:30:00Z"
"LKMU4-4-KNMCS","Expires Oct 31, 2021. ","Free 3","2021-10-30T18:30:00Z"
"GPAGAQQ87ORTEAR","Expires Apr 30, 2022. ","Flat ₹300off","2022-04-29T18:30:00Z"
"PARGAR01F28CC0380","Expires Aug 15, 2022. ","Free Shampoo","2022-08-14T18:30:00Z"
